Header,Translation
Wind >F7,Wind force greater than Force 7
No. Cas,Number of people treated with casualty care
SS-LJ Onbd,Number of people wearing lifejackets onboard vessel
SS-LJ Watr,Number of people wearing lifejackets in the water
Assessment,Assessment code (RNLI ref)
Bod Rec SI,Dead bodies recovered
Crft SIS,Craft saved
CrftBro SI,Craft brought in
Esc Cas,Escorted casualty indicator (not used 2012 onwards)
Stood By,Stood by indicator (not used 2012 onwards)
LLost  SIS,Lives lost
M ch ass,Number of male children rescued
F child,Number of female children rescued
M Teen ass,Number of male teens rescued
Fem Teen,Number of female teens rescued
M adult,Number of male adults rescued
Fem adult,Number of female adults rescued
LB Capsize,Lifeboat capsized on service
CrfSv/Bght,Craft saved or brought in indicator
Co-ord C/G,Incident coordinated by CG indicator
Hoax/false,Hoax or false alarm indicator
Uns. srch.,Unnsuccessful search indicator
Oth. coped,Others coped indicator
LB incomplete,Lifeboat could not complete service
TM&FV,Incident type was to merchant or fishing vessel
TPC,Incident type was to pleasure craft
To people,Incident type was to people
Other cas.,Incident type was to other 
SCCS,Services where crew claimed salvage
Estm. Val.,Estimated value of craft/vessel recovered
HMA,Medical person onboard lifeboat
Doctor,Medical person onboard lifeboat
Nurse,Medical person onboard lifeboat
Midwife,Medical person onboard lifeboat
Med.Auxil.,Medical person onboard lifeboat
Excpt Wthr,Lifeboat was out in exceptional weather for it class (RNLI ref)
